title,creator,issuance,publisher,url,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
Tolstoy and Chekhov,"Speirs, Logan",1971,University Press,http://hdl.handle.net/2027/mdp.39015034652621,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
Tolstoy and Chekhov,"Speirs, Logan",1971,University Press,http://hdl.handle.net/2027/mdp.39015038910967,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
Tolstyĭ i tonkiĭ : rasskazy,"Chekhov, Anton Pavlovich",1985,Khudozh. lit-ra,http://hdl.handle.net/2027/mdp.39015015405189,,,,,,,,,,,"""Tekst pechataetsi͡a po izdanii͡u: A.P. Chekhov. Polnoe sobranie sochineniĭ i pisem v tridt͡sati tomakh. Sochinenii͡a, t. 1-6, Moskva, 'Nauka', 1974-1976""--Verso t.p.",Mode of access: Internet.,,,
Tradit͡sii V. Mai͡akovskogo v turkmenskoĭ sovetskoĭ poėzii,"Gurbanmyradov, Kakabaĭ",1992,"Akademii͡a nauk Turkmenistana, Institut literatury im. Makhtumkuli",http://hdl.handle.net/2027/inu.30000042072318,,,,,,Turkmen poetry -- 20th century -- History and criticism,,,,,"""Spet͡sialʹnostʹ: 10.01.02--literatura narodov SSSR (sovetskogo perioda).""","""Avtoreferat dissertat͡sii na soiskanie uchenoĭ stepeni kandidata filologicheskikh nauk.""",Cover title.,Includes bibliographical references.,Mode of access: Internet.
Tragedi︠ia︡ : v dvukh deĭstvi︠ia︡kh s prologom i ėpilogom,"Mayakovsky, Vladimir",1976,Ardis,http://hdl.handle.net/2027/osu.32435007814833,"Burli︠u︡k, David",,,,,,,,,,"Reprint of the 1914 ed. published by Gryzunov, Moskow as an issue of Futuristy.",Cover title: Tragedi︠ia︡ Vladimira Mai︠a︡kovskago.,Mode of access: Internet.,,
"Die tragödie auf der jagd, roman","Chekhov, Anton Pavlovich",1940,P. Zsolnay,http://hdl.handle.net/2027/mdp.39015063020344,"Hoffmann, Richard","Halm, Hans",,,,,,,,,Mode of access: Internet.,,,,
Die Tragödie auf der Jagd,"Chekhov, Anton Pavlovich",1949,Amerbach-Verlag,http://hdl.handle.net/2027/uc1.$b323074,,,,,,,,,,,Translation of Drama na okhote.,Mode of access: Internet.,,,
Die Tragödie auf der Jagd; Roman,"Chekhov, Anton Pavlovich",1925,P. Zsolnay,http://hdl.handle.net/2027/inu.32000011340249,"Hoffmann, Richard","Halm, Hans",,,,,,,,,Translation of Drama na okhote.,Mode of access: Internet.,,,
"Tri poėta : V. Mai͡akovskiĭ, D. Bednyĭ, S. Esenin : ėti͡udy i ocherki","Ėventov, Issak Stanislavovich",1980,"Sov. pisatelʹ, Leningradskoe otd-nie",http://hdl.handle.net/2027/mdp.39015048405776,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
"Tri poėta : V. Mai͡akovskiĭ, D. Bednyĭ, S. Esenin : ėti͡udy i ocherki","Ėventov, Isaak Stanislavovich",1984,"Sov. pisatelʹ, Leningradskoe otd-nie",http://hdl.handle.net/2027/mdp.39015048405974,,,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
[Tri rasskaza,"Chekhov, Anton Pavlovich",1992,Bristol Classical Press,http://hdl.handle.net/2027/mdp.49015001370650,"Le Fleming, L. S. K.",,,,,Russian language -- Readers,,,,,First published in 1969 by Basil Blackwell Ltd.,Poprygunʹi͡a -- Chelovek v futli͡are -- Dushechka.,Mode of access: Internet.,,
""" Tri sestry"" : pʹesa A. P. Chekhova v postanovke Moskovskogo khudozhestvennogo teatra","Ėfros, N. E.",1961,,http://hdl.handle.net/2027/mdp.39015011534487,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
"""Tri sestry"" : pʹesa A.P. Chekhova v postanovke Moskovskogo Khudozhestvennogo teatra","Ėfros, N. E.",1919,"Khudozh. Izd-vo. ""Svi︠e︡tozar""",http://hdl.handle.net/2027/njp.32101071958969,"Nemirovich-Danchenko, Vladimir I.",,,,,,,,,,Mode of access: Internet.,,,,
"""Tri sestry"" : pʹesa A.P. Chekhova v postanovke Moskovskogo Khudozhestvennogo teatra","Ėfros, N. E.",1919,"Khudozh. Izd-vo. ""Svi︠e︡tozar""",http://hdl.handle.net/2027/wu.89007149073,"Nemirovich-Danchenko, Vladimir I.",,,,,,,,,,Mode of access: Internet.,,,,
"""Tri sestry"" na st͡sene Khudozhestvennogo teatra","Roskin, Aleksandr Iosifovich",1946,Izd. VTO,http://hdl.handle.net/2027/mdp.39015027539819,,,,,,,,,,,Mode of access: Internet.,,,,
Tri sestry. Three sisters,"Chekhov, Anton Pavlovich",1962,Russian Language Specialties,http://hdl.handle.net/2027/uc1.32106001599957,,,,,,Russian language -- Readers,,,,,Mode of access: Internet.,,,,
Tri shutki = Three farces,"Chekhov, Anton Pavlovich",1993,Bristol Classical,http://hdl.handle.net/2027/inu.30000037306945,"O'Toole, L. M.",,,,,Russian language -- Readers,,,,,Introduction and notes in English.,"Previously published: Great Britain : Bradda Books Ltd., 1963.",Medvedʹ = The Bear -- Predlozhenie = The Proposal -- I͡Ubileĭ = The Anniversary.,Mode of access: Internet.,
"Trio : Pushkin, Lermontov, Gogol : intermediate level adaptations from The golden age of Russian literature by Tatiana Bobrinskoy and Irina Gsovskaya",,1979,National Textbook Co.,http://hdl.handle.net/2027/uc1.32106010053830,"Bobrinskoy, Tatiana","Swick, Edward",,,,Russian language -- Readers -- Russian literature,,,,,Mode of access: Internet.,,,,
Trois sœurs,,2001,L'Avant-Scène,http://hdl.handle.net/2027/mdp.39015048003852,"Chekhov, Anton Pavlovich","Eötvös, Peter",,,,Operas -- Librettos,,,,,"Includes supplement: Échos des festivals 2001 / par Pierre Flinois, Christian Merlin, Pierre Michot.",Cover title.,Discography: p. 100-101.,Mode of access: Internet.,Libretto for Tri sestry in transliterated Russian with parallel French translation.
Trois sœurs,,2001,L'Avant-Scène,http://hdl.handle.net/2027/uc1.31822031299209,"Chekhov, Anton Pavlovich","Eötvös, Peter",,,,Operas -- Librettos,,,,,"Includes supplement: Échos des festivals 2001 / par Pierre Flinois, Christian Merlin, Pierre Michot.",Cover title.,Discography: p. 100-101.,Mode of access: Internet.,Libretto for Tri sestry in transliterated Russian with parallel French translation.
"Ts'ao Yu; : the reluctant disciple of Chekov and O'Neill, a study in literary influence","Lau, Joseph S. M.",1970,Hong Kong University Press,http://hdl.handle.net/2027/mdp.39015011901918,,,,,,,,,,,Bibliography: p. [79]-83.,Mode of access: Internet.,,,
"Ts'ao Yu; : the reluctant disciple of Chekov and O'Neill, a study in literary influence","Lau, Joseph S. M.",1970,Hong Kong University Press,http://hdl.handle.net/2027/uc1.b3982948,,,,,,,,,,,Bibliography: p. [79]-83.,Mode of access: Internet.,,,
"Ts'ao Yu; : the reluctant disciple of Chekov and O'Neill, a study in literary influence","Lau, Joseph S. M.",1970,Hong Kong University Press,http://hdl.handle.net/2027/uc1.b4386974,,,,,,,,,,,Bibliography: p. [79]-83.,Mode of access: Internet.,,,
Der Tschechow-Clan : Geschichte einer deutsch-russischen Künstlerfamilie,"Helker, Renata",2001,Parthas,http://hdl.handle.net/2027/mdp.39015054389138,,,,,,,,,,,Includes bibliographical references (p. 253-254) and index.,Mode of access: Internet.,,,
