title,creator,issuance,publisher,url,contributor1,contributor2,contributor3,contributor4,contributor5,subject1,subject2,subject3,subject4,subject5,description1,description2,description3,description4,description5
Au bord de la Néva Contes russes,,1856,M. Lévy frères,http://hdl.handle.net/2027/nyp.33433067268882,"Marmier, Xavier","Sollogub, V. A.","Gogolʹ, Nikolaĭ Vasilʹevich","Lermontov, Mikhail I͡Urʹevich",,Russian fiction,,,,,Mode of access: Internet.,Astoin Collection,,,
Au bord de la Néva; contes russes,"Marmier, Xavier",1865,Michel Lévy,http://hdl.handle.net/2027/nyp.33433067269112,"Sologub, Vladimir Aleksandrovich","Gogol, Nikolai Vasilyevich","Lermontov, Miklail Yuryevich",,,Russian fiction,,,,,Translated from the Russian.,"Un héros de notre temps, par M. Lermontof.--Le manteau, par N. Gogol.--La pharmacienne, par le comte Sollohoub.",Mode of access: Internet.,,
"Avetik Isaaki͡an i Rossii͡a : po dnevnikam, zapisnym knizhkam, pisimam","Isahakyan, Avik",1988,Sovetskiĭ pisatelʹ,http://hdl.handle.net/2027/mdp.39015019615999,,,,,,Russian poetry -- 19th century -- History and criticism,"Poets, Armenian -- 20th century -- Biography",,,,Includes bibliographical references.,Mode of access: Internet.,Translated from Armenian.,,
Avtorskie miry v russkoĭ kulʹture pervoĭ poloviny XIX veka,"Boĭko, M.",2005,Dmitriĭ Bulanin,http://hdl.handle.net/2027/mdp.39015062529527,,,,,,Russian literature -- 19th century -- History and criticism,"Authors, Russian -- 19th century",,,,"880-04At head of title: Federalʹnoe agentstvo po kulʹture i kinematografii Rossiiskoĭ Federat͡sii. Rossiĭskai͡a akademii͡a nauk, Gosudarstvennyĭ institut iskusstvoznanii͡a.",Includes bibiographical references.,"880-05Vvedenie --gl. 1.N.M. Karamzin : predvestii͡a zhanrov, kolliziĭ, kharakterov --gl. 2.K.N. Bati͡ushkov : ot akademizma k poėzii sovremennogo mirochuvstvovanii͡a --gl. 3.A.F. Velʹtman : obshcheevropeĭskai͡a avanti͡urnostʹ povestvovanii͡a i rossiĭskai͡a spet͡sifika geroi͡a --gl. 4.A.S. Griboedov : novyĭ tip lichnosti i preodolenie tradit͡sionnoĭ zhanrovosti --gl. 5.A.S. Pushkin : tragedii͡a, garmonii͡a, pokoĭ --gl. 6.Lermontov : otzvuki titanicheskogo individualizma v realʹnosti XIX veka --gl. 7.N.V. Gogolʹ : khudozhestvennai͡a misterii͡a --gl. 8.I.A. Goncharov : vechnyĭ ėkzistent͡sialʹnyĭ obraz v kontekste sovremennosti.",Mode of access: Internet.,
Baĭronizm u Pushkina i Lermontova,"Spasovich, V. D.",1911,Izd. Si͡evero-zapadnago knigoizdatelʹstva,http://hdl.handle.net/2027/njp.32101012168397,,,,,,Romanticism -- Russia,Russian literature -- 19th century -- History and criticism,Russian literature -- English influences,,,Includes bibliographical references.,Mode of access: Internet.,,,
Barkov i barkoviana : russkai͡a ėroticheskai͡a poėzii͡a,"Barkov, Ivan",1992,"TOO ""Rondo,""",http://hdl.handle.net/2027/mdp.39015033114813,"Lermontov, Mikhail I͡Urʹevich","Polezhaev, A. I.","Pushkin, Aleksandr Sergeevich","Peronov, Alekseĭ",,"Erotic poetry, Russian",,,,,Mode of access: Internet.,,,,
Bathory & Lermontov,"Matthias, John",1980,Kalejdoskop,http://hdl.handle.net/2027/uc1.32106018865276,"Kinsey, Douglas","Östergren, Jan","Printz-Påhlson, Göran",,,,,,,,Mode of access: Internet.,,,,
A bear,"Chekhov, Anton Pavlovich",1909,Moods Pub. Co.,http://hdl.handle.net/2027/uc2.ark:/13960/t73t9nb0p,"House, Roy Temple",,,,,,,,,,Also published under English title: The boor.,Translation of: Medvedʹ.,Mode of access: Internet.,,
Becoming Mikhail Lermontov : the ironies of romantic individualism in Nicholas I's Russia,"Powelstock, David",2005,Northwestern University Press,http://hdl.handle.net/2027/mdp.39015062525558,,,,,,Individualism in literature,Romanticism -- Russia,,,,Includes bibliographical references (p. 491-539) and indexes.,"Representing the romantic hero : death and the dream of death -- The icon and the window : framing the social self and literary mediation -- The ineffable self in the landscape of language : a romantic mythology of the word -- Poetry as theater : taking the stage -- Enter the other : the author and his readers -- Sincere lies : irony and seduction in Hero of our time -- ""Fierce integrity"" : inner freedom and poetic potentials -- Living into language.",Table of contents at http://www.loc.gov/catdir/toc/ecip055/2004029457.html,Mode of access: Internet.,
The bedbug and selected poetry,"Mayakovsky, Vladimir",1970,World,http://hdl.handle.net/2027/mdp.39015004846369,,,,,,Russian language -- Texts,,,,,Text in Russian and English.,Mode of access: Internet.,"Grad copy 3: Signed by translator, George Reavey.",Grad copy 3: Gift of Mr. Irwin T. Holtzman.,
The bedbug and selected poetry,"Mayakovsky, Vladimir",1970,World,http://hdl.handle.net/2027/mdp.39015008204664,,,,,,Russian language -- Texts,,,,,Text in Russian and English.,Mode of access: Internet.,"Grad copy 3: Signed by translator, George Reavey.",Grad copy 3: Gift of Mr. Irwin T. Holtzman.,
The bedbug and selected poetry,"Mayakovsky, Vladimir",1970,World,http://hdl.handle.net/2027/mdp.39015035767030,,,,,,Russian language -- Texts,,,,,Text in Russian and English.,Mode of access: Internet.,"Grad copy 3: Signed by translator, George Reavey.",Grad copy 3: Gift of Mr. Irwin T. Holtzman.,
The bedbug and selected poetry,"Mayakovsky, Vladimir",1975,Indiana University Press,http://hdl.handle.net/2027/mdp.39015041401731,,,,,,,,,,,"Reprint of the ed. published by Meridian Books, New York.",Poems in English and Russian.,Mode of access: Internet.,,
The bedbug and selected poetry,"Mayakovsky, Vladimir",1975,Indiana University Press,http://hdl.handle.net/2027/uc1.32106009996460,,,,,,,,,,,"Reprint of the ed. published by Meridian Books, New York.",Poems in English and Russian.,Mode of access: Internet.,,
The bedbug; [a play] and selected poetry,"Mayakovsky, Vladimir",1970,World Pub. Co,http://hdl.handle.net/2027/uc1.32106009533214,,,,,,,,,,,Mode of access: Internet.,,,,
"Bedeutungsaufbau in den späten Erzählungen Čechovs : ""offenes"" und ""geschlossenes"" Erzählen","Penzkofer, Gerhard",1984,O. Sagner,http://hdl.handle.net/2027/uc1.b5145114,,,,,,,,,,,"Thesis (doctoral)--Ludwig-Maximilians-Universität, Munich, 1984.",Bibliography: p. 357-367.,Mode of access: Internet.,,
Begegnung mit Majakowski,"Zimmering, Max",1955,Verlag Neues Leben,http://hdl.handle.net/2027/uc1.$b319080,,,,,,,,,,,Mode of access: Internet.,,,,
Bela,"Lermontov, Mikhail I͡Urʹevich",1947,D. C. Heath,http://hdl.handle.net/2027/mdp.39015010200528,"Marshak-Sobotka, Frances",,,,,,,,,,"Graded Russian readers, book 3.",Mode of access: Internet.,,,
Bela,"Lermontov, Mikhail I͡Urʹevich",1947,D. C. Heath,http://hdl.handle.net/2027/mdp.39015026447360,"Marshak-Sobotka, Frances",,,,,,,,,,"Graded Russian readers, book 3.",Mode of access: Internet.,,,
Bela,"Lermontov, Mikhail I͡Urʹevich",1917,E.P. Dutton & co.,http://hdl.handle.net/2027/mdp.39015065302278,,,,,,,,,,,Text in Russian.,Mode of access: Internet.,,,
Bela,"Lermontov, Mikhail I︠U︡rʹevich",1917,Kegan Paul,http://hdl.handle.net/2027/uc1.$b430125,"Biske, R.",,,,,,,,,,Text in Russian.,Mode of access: Internet.,,,
Bela,"Lermontov, Mikhail I͡Urʹevich",1945,George G. Harrap,http://hdl.handle.net/2027/uc1.b2821314,,,,,,,,,,,Mode of access: Internet.,,,,
Bessmertnye tradit︠s︡ii A.P. Chekhova; nekotorye problemy tvorcheskikh svi︠a︡zeĭ s ukrainskoĭ literaturoĭ,"Markut︠s︡a, Vladimir Pavlovich",1966,Izd-vo Rostovskogo universiteta,http://hdl.handle.net/2027/uc1.$b430127,,,,,,"Literature, Comparative -- Ukrainian and Russian","Literature, Comparative -- Russian and Ukrainian",,,,At head of title: Rostovskiĭ ordena Trudovogo krasnogo znameni gosudarstvennyĭ universitet. V.P. Markut︠s︡a.,Includes bibliographical references.,Mode of access: Internet.,,
Best plays,"Chekhov, Anton Pavlovich",1956,Modern Library,http://hdl.handle.net/2027/uc1.32106008499581,,,,,,,,,,,Mode of access: Internet.,,,,
Best plays,"Chekhov, Anton Pavlovich",1956,Modern Library,http://hdl.handle.net/2027/uc1.32106008659085,,,,,,,,,,,Mode of access: Internet.,,,,
Best plays,"Chekhov, Anton Pavlovich",1956,Modern Library,http://hdl.handle.net/2027/uc1.32106012927197,,,,,,,,,,,Mode of access: Internet.,,,,
"The bet, and other stories","Chekhov, Anton Pavlovich",1915,J. W. Luce & co.,http://hdl.handle.net/2027/uc1.b4084530,"Murry, John Middleton","Koteliansky, S. S.",,,,,,,,,The bet.--A tedious story.--The fit.--Misfortune.--After the theatre.--That wretched boy.--Enemies.--A trifling occurrence.--A gentleman friend.--Overwhelming sensations.--Expensive lessons.--A living calendar.--Old age.,Mode of access: Internet.,,,
"The bet, and other stories","Chekhov, Anton Pavlovich",1915,J. W. Luce & co.,http://hdl.handle.net/2027/uc2.ark:/13960/t1fj2bj2n,"Murry, John Middleton","Koteliansky, S. S.",,,,,,,,,The bet.--A tedious story.--The fit.--Misfortune.--After the theatre.--That wretched boy.--Enemies.--A trifling occurrence.--A gentleman friend.--Overwhelming sensations.--Expensive lessons.--A living calendar.--Old age.,Mode of access: Internet.,,,
Bezvremennai︠a︡ konchina Antona Chekhova,"Kronman, L.",1904,Tipo-lit. S.I︠A︡. Gotliba,http://hdl.handle.net/2027/wu.89112155171,,,,,,,,,,,Mode of access: Internet.,,,,
Bibliografii͡a literatury o A.P. Chekhove,"Osharova, T. V.",1979,Izd-vo Saratovskogo universiteta,http://hdl.handle.net/2027/mdp.39015030582228,,,,,,,,,,,Includes indexes.,Mode of access: Internet.,,,
Bibliografii͡a literatury o A.P. Chekhove,"Osharova, T. V.",1979,Izd-vo Saratovskogo universiteta,http://hdl.handle.net/2027/uc1.b3463800,,,,,,,,,,,Includes indexes.,Mode of access: Internet.,,,
Bibliografii͡a literatury o M. I͡U. Lermontove : 1917-1977 gg.,"Miller, O. V.",1980,"Nauka, Leningradskoe otd-nie",http://hdl.handle.net/2027/mdp.39015030585965,,,,,,,,,,,Includes indexes.,At the head of title: Akademii͡a nauk SSSR. Institut russkoĭ literatury (Pushkinskiĭ Dom),Mode of access: Internet.,,
A bibliography of Anton Chekhov in English,"Leighton, Lauren G.",2005,Edwin Mellen Press,http://hdl.handle.net/2027/mdp.39015060997858,,,,,,,,,,,Mode of access: Internet.,,,,
The bishop & other stories,"Chekhov, Anton Pavlovich",1991,Sutton,http://hdl.handle.net/2027/mdp.39015029520023,,,,,,,,,,,Translated from the Russian.,Mode of access: Internet.,,,
The bishop and other stories,"Chekhov, Anton Pavlovich",1985,Ecco Press,http://hdl.handle.net/2027/uc1.32106008943588,,,,,,,,,,,Mode of access: Internet.,,,,
"The bishop, and other stories","Chekhov, Anton Pavlovich",1919,Willey book co.,http://hdl.handle.net/2027/mdp.39015019956021,"Garnett, Constance",,,,,,,,,,The bishop.--The letter.--Easter eve.--A nightmare.--The murder.--Uprooted.--The steppe.,Mode of access: Internet.,Bound with this is his The duel and other stories ... [c1916],,
"The bishop, and other stories","Chekhov, Anton Pavlovich",1919,Willey book co.,http://hdl.handle.net/2027/uc1.31175035600868,"Garnett, Constance",,,,,,,,,,The bishop.--The letter.--Easter eve.--A nightmare.--The murder.--Uprooted.--The steppe.,Mode of access: Internet.,Bound with this is his The duel and other stories ... [c1916],,
"The bishop, and other stories","Chekhov, Anton Pavlovich",1919,The Macmillan Company,http://hdl.handle.net/2027/uc2.ark:/13960/t53f4qd62,"Garnett, Constance",,,,,,,,,,The bishop.--The letter.--Easter eve.--A nightmare.--The murder.--Uprooted.--The steppe.,Mode of access: Internet.,,,
"The bishop, and other stories","Chekhov, Anton Pavlovich",1919,Willey book co.,http://hdl.handle.net/2027/uc1.31175035121212,"Garnett, Constance",,,,,,,,,,The bishop.--The letter.--Easter eve.--A nightmare.--The murder.--Uprooted.--The steppe.,Mode of access: Internet.,Bound with this is his The duel and other stories ... [c1916],,
"The bishop, and other stories","Chekhov, Anton Pavlovich",1923,Macmilan Co,http://hdl.handle.net/2027/osu.32435078687415,"Garnett, Constance",,,,,,,,,,Mode of access: Internet.,,,,
The black monk & other stories,"Chekhov, Anton Pavlovich",1985,Alan Sutton,http://hdl.handle.net/2027/inu.39000000987003,,,,,,,,,,,Translated from the Russian.,The black monk -- On the way -- A family council -- At home -- In exile -- Rothschild's fiddle -- A father -- Two tragedies -- Sleepyhead -- At the manor -- An event -- Ward no. 6.,Mode of access: Internet.,,
The black monk and other stories,"Chekhov, Anton Pavlovich",1915,Frederick A. Stokes company,http://hdl.handle.net/2027/mdp.39015012888734,"Long, R. E. C.",,,,,,,,,,Printed in Great Britain.,Mode of access: Internet.,,,
The black monk and other stories,"Chekhov, Anton Pavlovich",1915,Frederick A. Stokes company,http://hdl.handle.net/2027/uc1.32106001600243,"Long, R. E. C.",,,,,,,,,,Printed in Great Britain.,Mode of access: Internet.,,,
The black monk and other stories,"Chekhov, Anton Pavlovich",1916,Frederick A. Stokes,http://hdl.handle.net/2027/inu.30000093654527,,,,,,,,,,,Mode of access: Internet.,,,,
"El bolero poesía : ""los panchos"", otros compositores e intérpretes : ensayo","Venegas, Lermontov",2000,"Ediciones ""La Prensa""",http://hdl.handle.net/2027/uc1.31822029985595,,,,,,Singers -- Latin America -- Biography,Composers -- Latin America -- Biography,Musicians -- Latin America -- Biography,Boleros (Music) -- Latin America -- History and criticism,,Mode of access: Internet.,,,,
The Book of 2 poems,,1985,Nehanda Publishers :,http://hdl.handle.net/2027/inu.30000027227812,"Mayakovsky, Vladimir","Chukovskiĭ, Korneĭ","Mathema, Cain",,,Russian poetry -- 20th century -- Translations,,,,,Cover title.,"English, Ndebele, and Shona.",The muddle / by Kornei Chukovsky -- What is good and what is bad / by Vladimir Mayakovsky.,Mode of access: Internet.,
The boor : opera buffa in one act,"Argento, Dominick",1994,Boosey & Hawkes,http://hdl.handle.net/2027/uc1.31822023265606,"Chekhov, Anton Pavlovich","Olon, John",,,,Operas -- Vocal scores with piano,,,,,Mode of access: Internet.,,,,
The boor: a comedy in one act:,"Chekhov, Anton Pavlovich",1915,"S. French [etc., etc.",http://hdl.handle.net/2027/uc1.b4084859,"Baukhage, Hilmar R.",,,,,,,,,,Mode of access: Internet.,,,,
The boor: a comedy in one act:,"Chekhov, Anton Pavlovich",1915,"S. French [etc., etc.",http://hdl.handle.net/2027/uc2.ark:/13960/t2s46tw6m,"Baukhage, Hilmar R.",,,,,,,,,,Mode of access: Internet.,,,,
The breaking string; the plays of Anton Chekhov,"Valency, Maurice Jacques",1966,Oxford University Press,http://hdl.handle.net/2027/mdp.39015002306309,,,,,,Russian drama -- 19th century -- History and criticism,,,,,Mode of access: Internet.,,,,
The breaking string; the plays of Anton Chekhov,"Valency, Maurice Jacques",1966,Oxford University Press,http://hdl.handle.net/2027/uc1.32106016852623,,,,,,Russian drama -- 19th century -- History and criticism,,,,,Mode of access: Internet.,,,,
Brik and Mayakovsky,"Barooshian, Vahan D.",1978,Mouton,http://hdl.handle.net/2027/mdp.39015008915277,,,,,,Futurism (Literary movement),"Poets, Russian -- 20th century -- Biography",,,,Includes bibliographical references and index.,Bibliography of works by O. Brik: p. [149]-154.,Mode of access: Internet.,,
Brik and Mayakovsky,"Barooshian, Vahan D.",1978,Mouton,http://hdl.handle.net/2027/uc1.32106008464742,,,,,,Futurism (Literary movement),"Poets, Russian -- 20th century -- Biography",,,,Includes bibliographical references and index.,Bibliography of works by O. Brik: p. [149]-154.,Mode of access: Internet.,,
Brooklyn bridge / Vladimir Mayakovsky ; translated by Harry Lewis ; assisted by Steve Coutay ; illustrated by Marc Shanker,"Mayakovsky, Vladimir",1975,Broadway Boogie Press,http://hdl.handle.net/2027/mdp.39015011557546,,,,,,,,,,,"300 copies of this ed. have been printed, 25 numbered and signed by the translator and illustrator.",Mode of access: Internet.,,,
The brothers,"De Wet, Reza",2006,Oberon Books,http://hdl.handle.net/2027/mdp.39015066785851,,,,,,,,,,,Mode of access: Internet.,Translated from the Afrikaans.,,,
The brute : a comic opera in 1 act,"Moss, Lawrence",1967,T. Presser Co.,http://hdl.handle.net/2027/mdp.39015023734737,"Chekhov, Anton Pavlovich","Bentley, Eric",,,,Operas -- Vocal scores with piano,,,,,Duration: ca. 23:00.,Mode of access: Internet.,,,
The brute : a comic opera in 1 act,"Moss, Lawrence",1967,T. Presser Co.,http://hdl.handle.net/2027/mdp.39015023734745,"Chekhov, Anton Pavlovich","Bentley, Eric",,,,Operas -- Vocal scores with piano,,,,,Duration: ca. 23:00.,Mode of access: Internet.,,,
The brute and other farces,"Chekhov, Anton Pavlovich",1985,Applause Theatre Book Publishers,http://hdl.handle.net/2027/uc1.32106006879255,"Bentley, Eric",,,,,Farces -- Translations into English,,,,,Mode of access: Internet.,,,,
"The brute, and other farces","Chekhov, Anton Pavlovich",1958,Grove Press,http://hdl.handle.net/2027/mdp.39076006813906,,,,,,,,,,,The harmfulness of tobacco.--Swan song.--The brute.--Marriage proposal.--Summer in the country.--A wedding.--The celebration.,Mode of access: Internet.,,,
Budynok-muzeĭ A.P. Chekhova v I︠A︡lti = The Chekhov Museum in Yalta,,1968,"Vyd-vo ""Krym""",http://hdl.handle.net/2027/uc1.$b430122,"Holi︠a︡khovsʹkyĭ, R. M.",,,,,,,,,,Mode of access: Internet.,,,,
Budynok-muzeĭ A.P. Chekhova v I︠A︡lti = The Chekhov Museum in Yalta,,1968,"Vyd-vo ""Krym""",http://hdl.handle.net/2027/uc1.b3694932,"Holi︠a︡khovsʹkyĭ, R. M.",,,,,,,,,,Mode of access: Internet.,,,,
The Cambridge companion to Chekhov,,2000,Cambridge University Press,http://hdl.handle.net/2027/mdp.39015049550034,"Allain, Paul","Gottlieb, Vera",,,,,,,,,Includes bibliographical references (p. 266-279) and indexes.,Mode of access: Internet.,,,
Camilo José Cela and his patternings à la Lermontov,"Franz, Thomas R.",1990,"Orrin Frink, Editor",http://hdl.handle.net/2027/wu.89050460864,,,,,,,,,,,"""January, 1990.""",Cover title.,Includes bibliographical references (p. 11).,Mode of access: Internet.,
Carte d'Europe : Strindberg-Conrad-Tchekhov-Unamuno-Pirandello-Duhamel-Rilke. Ouvrage orne de sept portraits graves sur bois,"Daniel-Rops, Henri",1928,Perrin,http://hdl.handle.net/2027/mdp.39015031020723,,,,,,,,,,,Mode of access: Internet.,,,,
Čechovs Einakter Tat'jana Repina : Analyse und Umfeld eines verkannten Meisterwerks,,2006,Verlag Otto Sagner,http://hdl.handle.net/2027/mdp.39015064724068,"Schmid, Herta","Stelleman, Jenny",,,,Tat'jana Repina (Tsjechov) -- gtt,,,,,Mode of access: Internet.,,,,
Čehov kao dramski pisac kod Srba,"Božović, Zoran",1985,Filološki fakultet Univerziteta u Beogradu,http://hdl.handle.net/2027/mdp.39015037625715,,,,,,,,,,,Summary in Russian.,In Serbo-Croatian (roman),Includes bibliographical references.,Mode of access: Internet.,
"Čehov, dramski pisac","Hristić, Jovan",1981,Nolit,http://hdl.handle.net/2027/mdp.39015012082213,,,,,,,,,,,In Serbo-Croatian (Roman),Bibliography: p. [233]-237.,Mode of access: Internet.,,
"Čehov, dramski pisac","Hristić, Jovan",1981,Nolit,http://hdl.handle.net/2027/uc1.b4084865,,,,,,,,,,,In Serbo-Croatian (Roman),Bibliography: p. [233]-237.,Mode of access: Internet.,,
Čehovljeva pripovetka u srpskoj književnosti,"Božović, Zoran",1988,Filološki fakultet Beogradskog univerziteta,http://hdl.handle.net/2027/mdp.39015033126916,,,,,,Serbian literature -- History and criticism,,,,,Summary in Russian.,In Serbo-Croatian (roman).,Includes bibliographical references.,Mode of access: Internet.,
La cerilla sueca,"Chekhov, Anton Pavlovich",1924,Calpe,http://hdl.handle.net/2027/uc1.$b236923,,,,,,,,,,,"Original front cover, illustrated in colors, bound in.","A collection of short stories, the title of the volume that of the first.",Translation of: ShvedskaiÍ¡a spichka.,Mode of access: Internet.,
Chaihuofu xuan ji,"Chekhov, Anton Pavlovich",1967,Kai ming shu dian,http://hdl.handle.net/2027/wu.89047431820,"Chen, Zhiming",,,,,,,,,,Mode of access: Internet.,,,,
Chaĭka : komedii͡a i ee prodolzhenie,"Chekhov, Anton Pavlovich",2000,Gesharim,http://hdl.handle.net/2027/mdp.39015064230785,"Akunin, B.",,,,,,,,,,Contains the original play by Anton Chekhov plus an additional work by Boris Akunin.,Mode of access: Internet.,,,
Chaĭka v postanovke Moskovskogo khudozhestvennogo teatra,,1962,Iskusstvo,http://hdl.handle.net/2027/mdp.39015012157551,"Balukhatyĭ, S. D.","Stanislavsky, Konstantin",,,,,,,,,Photocopy (positive) made by University Microfilms.,Mode of access: Internet.,,,
"""Chaĭka"" : komedii͡a zabluzhdeniĭ","Volchkevich, Maĭi͡a",2005,"""Muzeĭ cheloveka""",http://hdl.handle.net/2027/mdp.39015062515625,,,,,,,,,,,"880-04""Literaturno-khudozhestvannoe izdanie""--Colophon.",Mode of access: Internet.,,,
"""Chaĭka"" : materialy i issledovanii͡a","Ermilov, V.",1961,Vserossiiskoe teatralʹnoe ob-vo,http://hdl.handle.net/2027/mdp.39015013094852,,,,,,,,,,,Photocopy (positive) made by University Microfilms.,Includes bibliography.,Mode of access: Internet.,,
"""Chaĭka"" A.P. Chekhova","Papernyĭ, Zinoviĭ Samoĭlovich",1980,Khudozh. lit-ra,http://hdl.handle.net/2027/mdp.39015000589906,,,,,,,,,,,Bibliography: p. 159.,Mode of access: Internet.,,,
Chaĭka v postanovke Moskovskogo khudozhestvennogo teatra,,1938,Iskusstvo,http://hdl.handle.net/2027/uc1.b4084485,"Balukhatyĭ, S. D.","Stanislavsky, Konstantin",,,,,,,,,In Cyrillic characters.,Mode of access: Internet.,,,
The Chameleon and four other tales,"Chekhov, Anton Pavlovich",1916,"Kegan Paul, Trench, Trubner & Co.",http://hdl.handle.net/2027/coo.31924026699821,"Selver, P.",,,,,Russian language -- Readers,,,,,"Text in Russian, with an introduction in English.",The chameleon.--Carried too far.--The inquiry.--In an ill-humour.--An incident.,Mode of access: Internet.,,
The chameleon and four other tales,"Chekhov, Anton Pavlovich",1920,"K. Paul, Trench, Trubner & co., ltd.",http://hdl.handle.net/2027/uc1.$b662203,"Selver, Paul",,,,,Russian language -- Readers,,,,,On cover: Kegan Paul's Russian texts.,The Chameleon.--Carried too far.--The inquiry.--In an ill-humour.--An incident.,Mode of access: Internet.,,
The chameleon and the dream; the image of reality in Cexov's stories,"Kramer, Karl D",1970,Mouton,http://hdl.handle.net/2027/mdp.39015008800032,,,,,,,,,,,Bibliography: p. [174]-176.,Mode of access: Internet.,,,
The chameleon and the dream; the image of reality in Cexov's stories,"Kramer, Karl D",1970,Mouton,http://hdl.handle.net/2027/uc1.32106001600680,,,,,,,,,,,Bibliography: p. [174]-176.,Mode of access: Internet.,,,
Chechni͡a i Lermontov : o lermontovskikh geroi͡akh-chechent͡sakh,"I͡Usupov, Azim",2004,Dzhangar,http://hdl.handle.net/2027/mdp.39015080703609,"I͡Usupov, Asluddin",,,,,History in literature,,,,,"880-03""Litearaturno-dokumentalʹnoe izdanie""--Colophon.",Includes bibliographical references.,Mode of access: Internet.,,
"Chefs-d'œuvre poétique de Lermontoff, le poëte du caucase","Lermontov, Mikhail I︠U︡rʹevich",1866,A. Le Chevalier,http://hdl.handle.net/2027/hvd.hn8xgf,"Pelan, P.",,,,,,,,,,Mode of access: Internet.,,,,
Chēhofu no naka no Nihon,"Nakamoto, Nobuyuki",1981,,http://hdl.handle.net/2027/mdp.39015066554992,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes bibliographical references.,Mode of access: Internet.,,,
Chekhov : a biographical and critical study,"Hingley, Ronald",1966,Barnes and Noble,http://hdl.handle.net/2027/mdp.39015002677782,,,,,,"Authors, Russian -- Biography",,,,,Bibliography: p. [248]-250.,Mode of access: Internet.,,,
Chekhov : a spirit set free,"Pritchett, V. S.",1988,Hodder and Stoughton,http://hdl.handle.net/2027/mdp.39015014286689,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes index.,Mode of access: Internet.,,,
Chekhov : a spirit set free,"Pritchett, V. S.",1988,Random House,http://hdl.handle.net/2027/mdp.39015021654721,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes index.,Mode of access: Internet.,,,
Chekhov : a spirit set free,"Pritchett, V. S.",1988,Random House,http://hdl.handle.net/2027/uc1.32106008493212,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes index.,Mode of access: Internet.,,,
Chekhov : biograficheskai͡a povestʹ,"Roskin, Aleksandr",1939,"Tsentralʹnyĭ komitet Vsesoi͡uznogo Leninskogo kommunisticheskogo soi͡uza molodëzhi, Izdatelʹstvo detskoĭ literatury",http://hdl.handle.net/2027/mdp.39015030582517,,,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : biograficheskai͡a povestʹ,"Roskin, A.",1959,Detskoĭ Lit-ry,http://hdl.handle.net/2027/mdp.39015064262598,,,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : biograficheskai͡a povestʹ,"Roskin, A.",1959,Detskoĭ Lit-ry,http://hdl.handle.net/2027/uc1.b4395886,,,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : biografii͡a,"Izmaĭlov, A.",2003,Zakharov,http://hdl.handle.net/2027/mdp.39015060337568,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,"Originally published: Chekhov, 1860-1904 : bīograficheskīĭ nabrosok. Moskva : Tip. I.D. Sytina, 1916.",Mode of access: Internet.,,,
Chekhov : literaturnaia biografiia,"Zaĭt͡sev, Boris",1954,Izd-vo im. Chekhova,http://hdl.handle.net/2027/mdp.39015030582590,,,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : literaturnaia biografiia,"Zaĭt͡sev, Boris",1954,Izd-vo im. Chekhova,http://hdl.handle.net/2027/uc1.b3725997,,,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : scenes from a life,"Bartlett, Rosamund",2004,Free Press,http://hdl.handle.net/2027/mdp.39015059576788,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Includes bibliographical references (p. [376]-381) and index.,Mode of access: Internet.,,,
Chekhov : the critical heritage,,1981,Routledge & Kegan Paul,http://hdl.handle.net/2027/uc1.32106006603051,"Emeljanow, Victor",,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : the evolution of his art,"Rayfield, Donald",1975,Barnes & Noble Books,http://hdl.handle.net/2027/mdp.49015000494923,,,,,,,,,,,Includes index.,Bibliography: p. 255-257.,Mode of access: Internet.,,
Chekhov : the four major plays,"Chekhov, Anton Pavlovich",2005,Ivan R. Dee,http://hdl.handle.net/2027/mdp.39015060604843,"Columbus, Curt",,,,,,,,,,Seagull -- Uncle Vanya -- Three sisters -- Cherry Orchard.,Mode of access: Internet.,,,
Chekhov : the hidden ground : a biography,"Callow, Philip",1998,Constable,http://hdl.handle.net/2027/mdp.39015043115768,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Mode of access: Internet.,,,,
Chekhov : the hidden ground : a biography,"Callow, Philip",1998,Constable,http://hdl.handle.net/2027/uc1.32106014942277,,,,,,"Authors, Russian -- 19th century -- Biography",,,,,Mode of access: Internet.,,,,
Chekhov : the major plays,"Chekhov, Anton Pavlovich",1995,Applause,http://hdl.handle.net/2027/uc1.32106015869198,"Van Itallie, Jean Claude",,,,,,,,,,Mode of access: Internet.,,,,
Chekhov : the vaudevilles ; and other short works,"Chekhov, Anton Pavlovich",1998,Smith and Kraus,http://hdl.handle.net/2027/mdp.49015002670694,"Rocamora, Carol",,,,,,,,,,Includes bibliographical references.,Mode of access: Internet.,,,
